
2022-03-21 21:13:02 INFO  PatentDocumentController:81 - PatentDocument added 
2022-03-21 21:13:42 INFO  PatentDocumentController:119 - PatentDocument updated 
2022-03-21 21:14:01 INFO  PatentDocumentController:130 - PatentDocument deleted 
2022-03-23 14:29:05 INFO  BookController:80 - Book added
2022-03-23 14:29:39 INFO  BookController:135 - Book deleted
2022-03-23 15:16:08 INFO  BookController:80 - Book added
2022-03-23 17:36:17 INFO  BookController:130 - Book updated 
2022-03-23 18:54:13 INFO  MagazineController:124 - Magazine deleted
2022-03-24 14:42:10 INFO  LocationController:59 - Location added
2022-03-24 14:45:07 INFO  LocationController:96 - Location deleted
2022-03-24 14:45:15 INFO  LocationController:59 - Location added
2022-03-24 14:46:43 INFO  LocationController:83 - Location updated 
2022-03-24 14:46:46 INFO  LocationController:96 - Location deleted
2022-03-24 16:15:35 INFO  AuthorController:80 - Author updated 
2022-03-24 16:16:18 INFO  AuthorController:80 - Author updated 
2022-03-24 16:21:24 INFO  AuthorController:80 - Author updated 
2022-03-24 16:21:33 INFO  AuthorController:80 - Author updated 
2022-03-24 16:21:40 INFO  AuthorController:56 - Author added
2022-03-24 16:22:08 INFO  AuthorController:80 - Author updated 
2022-03-24 16:22:12 INFO  AuthorController:93 - author deleted
2022-03-24 16:22:26 INFO  AuthorController:56 - Author added
2022-03-24 16:22:50 INFO  LocationController:59 - Location added
2022-03-24 16:23:14 INFO  BookController:82 - Book added
2022-03-24 16:23:31 INFO  BookController:143 - Book deleted
2022-04-13 23:38:47 INFO  BookController:82 - Book added
2022-04-14 02:25:56 INFO  BookController:130 - Book updated 
2022-04-14 02:41:42 INFO  BookController:82 - Book added
2022-04-14 02:52:52 INFO  BookController:82 - Book added
2022-04-14 14:37:24 INFO  BookController:143 - Book deleted
2022-04-14 14:37:29 INFO  BookController:143 - Book deleted
2022-04-14 14:37:35 INFO  DocumentController:126 - Document deleted 
2022-04-14 14:37:44 INFO  BookController:143 - Book deleted
2022-04-14 14:39:50 INFO  BookController:82 - Book added
2022-04-14 14:41:40 INFO  BookController:143 - Book deleted
2022-04-14 14:42:48 INFO  BookController:82 - Book added
2022-04-14 19:37:38 INFO  BookController:143 - Book deleted
2022-04-17 16:40:04 INFO  BookController:82 - Book added
